x,y,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,f_artifical,f_bare,f_cropland,f_highveg,f_lowveg,dem,tcb.sos,tcg.sos,tcw.sos,tcb.pos,tcg.pos,tcw.pos,tcb.eos,tcg.eos,tcw.eos,ursus_arctos
3605000,2625000,122.12777709960938,74.00555419921875,323.31109619140625,5466.0888671875,250.51666259765625,21.03333282470703,229.29444885253906,65.28333282470703,194.9888916015625,200.75555419921875,51.79999923706055,752.388916015625,80.78888702392578,50.30555725097656,14.272222518920898,235.5833282470703,156.68333435058594,161.48333740234375,214.10000610351562,5,1,412,194,377,130,3534,1884,-1200,3853,1737,-1515,3313,1210,-1545,0
3885000,2625000,112.77777862548828,74.92424011230469,298.2676696777344,6088.04052734375,252.10606384277344,1.9444444179534912,250.0353546142578,86.6464614868164,65.8131332397461,199.31312561035156,33.05555725097656,903.095947265625,86.05555725097656,62.89393997192383,10.646464347839355,254.0404052734375,190.48989868164062,225.89898681640625,232.7070770263672,12,0,56,243,684,323,3326,2130,-948,3663,1814,-1496,3283,1650,-1165,0
3945000,2625000,121.31818389892578,74.21717071533203,292.2474670410156,6235.171875,261.6060485839844,7.101010322570801,254.52525329589844,92.6868667602539,68.43939208984375,209.19192504882812,39.227272033691406,929.93939208984375,95.6212158203125,62.06565475463867,13.05555534362793,280.98486328125,187.26766967773438,237.67172241210938,224.63636779785156,6,0,289,258,444,192,3427,1844,-1078,3830,1996,-1366,3281,1470,-1259,0
4075000,2625000,92.13725280761719,78.81372833251953,296.6176452636719,6456.2744140625,234.85293579101562,-30.289215087890625,265.1813659667969,129.7794189453125,25.068628311157227,182.48529052734375,7.828431606292725,1092.6568603515625,109.37255096435547,74.48529052734375,11.81862735748291,319.2205810546875,227.39706420898438,301.4068603515625,255.94117736816406,27,0,306,253,415,693,3266,1781,-1059,3683,1979,-1155,3045,1565,-1007,0
4105000,2625000,70.7254867553711,79,298.4313659667969,6450.25,213.23529052734375,-52.24509811401367,265.45587158203125,139.64215087890625,-11.77450942993164,161.10784912109375,-13.490196228027344,1395.1519775390625,159.35293579101562,84.76960754394531,22.980392456054688,464.0931396484375,256.186279296875,456.691162109375,267.7402038574219,7,1,5,477,509,1094,2731,1234,-513,2967,1979,-788,2165,1387,-556,0
4225000,2625000,11.053921699523926,77.0049057006836,297.7205810546875,6324.298828125,149.87745666503906,-110.30392456054688,260.2156982421875,79.632354736328125,-70.37255096435547,100.01470947265625,-71.51470947265625,1524.7254638671875,164.71078491210938,100.23039245605469,16.730392456054688,477.70098876953125,305.6568603515625,470.37255859375,307.9705810546875,0,373,0,145,432,2160,11096,-1371,3479,4004,712,-1023,4205,-42,-497,0
4265000,2625000,40.156864166259766,78,294.5931396484375,6485.12744140625,180.88235473632812,-84.632354736328125,265.5882263183594,130.6568603515625,-44.10293960571289,131.16175842285156,-45.09803771972656,1135.073486328125,139.3235321044922,67.460784912109375,25.455883026123047,407.7402038574219,206.36764526367188,407.67156982421875,208.05392456054688,7,55,1,474,463,1587,6514,-386,1313,2758,1620,-699,1910,818,-594,0
4285000,2625000,32.45989227294922,79,295.8235168457031,6488.2138671875,173.1764678955078,-93.24598693847656,266.37432861328125,123.50801849365234,-49.33155059814453,123.50801849365234,-53,1114.385009765625,142.82887268066406,58.144386291503906,30.71122932434082,417.5294189453125,180.19786071777344,417.5294189453125,192.80747985839844,1,60,0,456,479,1786,5957,-21,1105,2814,1732,-743,2522,1144,-815,0
4345000,2625000,2.893048048019409,79.62567138671875,298.053466796875,6463.12841796875,142.5294189453125,-124.4491958618164,266.95721435546875,93.59358215332031,-72.17646789550781,93.59358215332031,-82.70587921142578,774.71124267578125,111.51336669921875,36.4973258972168,38.87165832519531,329.8074951171875,114.64170837402344,329.8074951171875,127.12834167480469,0,458,0,317,219,2286,7496,-557,1994,2683,638,-721,2120,387,-542,1
4495000,2625000,32.13541793823242,84,296.8489685058594,6791.71337890625,176.1145782470703,-106.67708587646484,282.7760314941406,121.99478912353516,-53.94270706176758,125.49478912353516,-60.125,919.78125,119.41666412353516,39.9375,34.38020706176758,349.9166564941406,121.55728912353516,333.8489685058594,132.9635467529297,8,195,0,598,198,1638,3323,666,-414,2743,1491,-794,2337,1161,-759,0
4535000,2625000,35.27604293823242,83.99478912353516,294.578125,6862.69287109375,180,-104.34375,284.3802185058594,115.93228912353516,-51.859375,129.3177032470703,-58.32291793823242,1234.9427490234375,133,62.66666793823242,23.63541603088379,392.4947814941406,191.765625,375.6302185058594,204.9895782470703,0,84,0,603,314,1551,3130,564,-563,2874,1685,-711,1976,970,-701,0
4565000,2625000,60.515625,83.11978912353516,289.6458435058594,7012.203125,206.9114532470703,-80.59896087646484,287.4739685058594,77.31771087646484,-28.515625,156.1822967529297,-35.4375,1369.3385009765625,150.1770782470703,66.95833587646484,23.79166603088379,438.09375,203.1354217529297,405.3854064941406,226.1979217529297,1,40,1,793,166,1188,2077,753,-389,2440,1513,-571,1416,884,-393,0
4595000,2625000,63.42564010620117,83,287.5179443359375,7083.73828125,210.6923065185547,-78.117950439453125,288.81024169921875,137.1794891357422,-26.72820472717285,159.8358917236328,-33.63589859008789,1315.8359375,149.42051696777344,57.153846740722656,29.102563858032227,442.4615478515625,174.57948303222656,438.8769226074219,201.24102783203125,7,1,4,853,132,1068,2365,925,-688,2593,1762,-643,1651,961,-479,0
4765000,2625000,106.77222442626953,81.32221984863281,273.8222351074219,7492.3720703125,260.6277770996094,-36.92222213745117,297.5777893066406,205.477783203125,9.577777862548828,206.6888885498047,3,947.91668701171875,112.4111099243164,42.82777786254883,30.299999237060547,336.04443359375,131.2388916015625,335.0833435058594,143.8000030517578,16,0,180,272,521,267,3356,1602,-1056,3564,2124,-1065,3065,1438,-1080,0
